# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
7.116275 1.086558 0.161870 -0.157243 6.535 -0.009177 0.270453
23.219833 1.101917 0.160430 -0.164514 6.535 0.131116 0.207280
38.750274 1.137222 0.154354 -0.188284 6.535 0.199551 0.135242
52.940635 1.164879 0.147866 -0.185819 6.535 0.252769 0.088778
68.526736 1.193274 0.142701 -0.182136 6.535 0.275985 0.034805
86.566441 1.191978 0.139502 -0.184888 6.535 0.274149 0.037389
104.359810 1.194878 0.138081 -0.187512 6.535 0.241570 0.034839
122.570953 1.185048 0.137010 -0.188496 6.535 0.235288 0.039141
143.166009 1.189348 0.139337 -0.191418 6.535 0.112676 0.034456
167.792662 1.196371 0.138946 -0.194351 6.535 0.028784 0.038374
192.878235 1.182745 0.138049 -0.195168 6.535 -0.057827 0.035802
216.543228 1.187606 0.138414 -0.190041 6.535 -0.113593 0.026850
237.352471 1.198595 0.138795 -0.187557 6.535 -0.228209 0.032346
255.111665 1.195039 0.139289 -0.183178 6.535 -0.247904 0.037505
273.652594 1.196281 0.141164 -0.180498 6.535 -0.250202 0.042064
291.018513 1.198148 0.144313 -0.179334 6.535 -0.292569 0.062573
306.998951 1.178978 0.149184 -0.173803 6.535 -0.259540 0.106624
322.254423 1.133709 0.155445 -0.169897 6.535 -0.212949 0.033604
336.689697 1.105079 0.160007 -0.167066 6.535 -0.139185 0.368759
26.815061 1.063487 0.161635 -0.299976 6.535 0.074628 0.255959
39.138660 1.117321 0.155834 -0.306444 6.535 0.185568 0.085188
52.600269 1.164198 0.149780 -0.307529 6.535 0.238585 0.155119
68.852284 1.191093 0.144199 -0.307426 6.535 0.301860 0.099611
86.821864 1.189126 0.140947 -0.308686 6.535 0.242386 0.041053
104.572643 1.198688 0.141085 -0.307160 6.535 0.232207 0.035377
122.418805 1.198855 0.142343 -0.304965 6.535 0.212906 0.042100
143.200713 1.186503 0.143409 -0.307281 6.535 0.101372 0.040149
167.557679 1.177596 0.142523 -0.308728 6.535 0.045948 0.040590
192.869955 1.196090 0.143034 -0.308655 6.535 -0.028372 0.037304
216.055233 1.196064 0.142129 -0.309135 6.535 -0.082851 0.032423
236.786987 1.205460 0.140909 -0.303024 6.535 -0.196150 0.040901
254.936315 1.209983 0.143326 -0.306470 6.535 -0.212990 0.041638
273.911077 1.205437 0.143558 -0.305441 6.535 -0.355176 0.077668
291.325759 1.187297 0.144185 -0.309082 6.535 -0.213321 0.035210
307.041188 1.158827 0.146118 -0.317837 6.535 -0.251636 0.053938
321.105614 1.107818 0.155418 -0.314372 6.535 -0.211224 0.063760
335.636647 1.079176 0.164071 -0.279752 6.535 -0.295072 0.149768
38.855737 1.118604 0.156215 -0.456365 6.535 0.195256 0.179452
52.660028 1.160739 0.147379 -0.459750 6.535 0.124940 0.068203
68.586226 1.177304 0.144414 -0.456685 6.535 0.208476 0.043569
86.744708 1.193867 0.142447 -0.457844 6.535 0.230253 0.039765
104.484251 1.194960 0.142335 -0.456166 6.535 0.102973 0.045565
122.648435 1.188746 0.143108 -0.459545 6.535 0.066832 0.052174
144.039716 1.193780 0.142560 -0.458955 6.535 0.124784 0.049251
167.179309 1.186564 0.143199 -0.455862 6.535 0.005517 0.049014
192.791816 1.178908 0.143622 -0.458665 6.535 -0.067939 0.044289
216.099269 1.197945 0.142675 -0.458456 6.535 -0.015585 0.040713
236.656086 1.201762 0.141436 -0.456844 6.535 -0.075580 0.054297
255.370076 1.173906 0.143728 -0.461847 6.535 -0.070754 0.052735
273.450967 1.195079 0.143830 -0.458945 6.535 -0.198485 0.053632
292.234278 1.187663 0.143374 -0.466210 6.535 -0.237368 0.057880
307.876598 1.166296 0.145014 -0.465390 6.535 -0.194294 0.131309
320.626820 1.111529 0.152388 -0.474722 6.535 -0.152868 0.049801
331.833562 1.043336 0.160829 -0.473582 6.535 -0.037529 0.274044
25.879927 1.089968 0.150001 -0.806638 6.535 0.089184 0.693014
37.960847 1.153583 0.143589 -0.749086 6.535 0.087358 0.144244
52.097146 1.180435 0.141840 -0.711872 6.535 0.077198 0.086189
68.620948 1.190065 0.145129 -0.695780 6.535 0.135300 0.046588
86.587355 1.189879 0.145392 -0.698490 6.535 0.115114 0.048481
104.383322 1.192914 0.143587 -0.699184 6.535 0.062184 0.054588
122.413004 1.185778 0.142418 -0.693645 6.535 0.033243 0.063723
143.709487 1.179444 0.142182 -0.704951 6.535 0.030303 0.058979
167.754182 1.199768 0.142075 -0.701939 6.535 0.053412 0.063686
192.592339 1.187104 0.143945 -0.702176 6.535 0.049867 0.054234
215.867248 1.196382 0.143181 -0.699903 6.535 -0.069387 0.050645
237.414732 1.186790 0.143029 -0.702933 6.535 -0.085888 0.066911
255.971810 1.171373 0.143148 -0.695765 6.535 -0.190007 0.065962
273.082994 1.186463 0.142964 -0.692315 6.535 -0.108334 0.058244
292.389002 1.189467 0.142356 -0.704322 6.535 -0.058379 0.041485
307.864284 1.176866 0.145272 -0.696874 6.535 -0.103739 0.043228
321.456454 1.145694 0.149959 -0.707991 6.535 -0.076731 0.034328
334.991443 1.098230 0.146169 -0.793239 6.535 -0.072888 0.150868
8.219103 1.168848 0.141978 -1.569558 6.535 0.012150 0.080621
